comuna,candidato,votos,porcentaje
TIRUA,"2. IGNACIO BRIONES ROJAS",41,9.43
TIRUA,"3. SEBASTIAN SICHEL RAMIREZ",116,26.67
TIRUA,"4. MARIO DESBORDES JIMENEZ",51,11.72
TIRUA,"5. GABRIEL BORIC FONT",213,60.86
TIRUA,"6. DANIEL JADUE JADUE",137,39.14
TIMAUKEL,"1. JOAQUIN LAVIN INFANTE",9,40.91
TIMAUKEL,"2. IGNACIO BRIONES ROJAS",0,0
TIMAUKEL,"3. SEBASTIAN SICHEL RAMIREZ",12,54.55
TIMAUKEL,"4. MARIO DESBORDES JIMENEZ",1,4.55
TIMAUKEL,"5. GABRIEL BORIC FONT",8,80
TIMAUKEL,"6. DANIEL JADUE JADUE",2,20
TILTIL,"1. JOAQUIN LAVIN INFANTE",439,33.13
TILTIL,"2. IGNACIO BRIONES ROJAS",106,8
TILTIL,"3. SEBASTIAN SICHEL RAMIREZ",614,46.34
TILTIL,"4. MARIO DESBORDES JIMENEZ",166,12.53
TILTIL,"5. GABRIEL BORIC FONT",1061,53.91
TILTIL,"6. DANIEL JADUE JADUE",907,46.09
"TIERRA AMARILLA","1. JOAQUIN LAVIN INFANTE",117,27.34
"TIERRA AMARILLA","2. IGNACIO BRIONES ROJAS",26,6.07
"TIERRA AMARILLA","3. SEBASTIAN SICHEL RAMIREZ",242,56.54
"TIERRA AMARILLA","4. MARIO DESBORDES JIMENEZ",43,10.05
"TIERRA AMARILLA","5. GABRIEL BORIC FONT",388,52.08
"TIERRA AMARILLA","6. DANIEL JADUE JADUE",357,47.92
"TEODORO SCHMIDT","1. JOAQUIN LAVIN INFANTE",577,45.08
"TEODORO SCHMIDT","2. IGNACIO BRIONES ROJAS",61,4.77
"TEODORO SCHMIDT","3. SEBASTIAN SICHEL RAMIREZ",542,42.34
"TEODORO SCHMIDT","4. MARIO DESBORDES JIMENEZ",100,7.81
"TEODORO SCHMIDT","5. GABRIEL BORIC FONT",332,64.72
"TEODORO SCHMIDT","6. DANIEL JADUE JADUE",181,35.28
TENO,"1. JOAQUIN LAVIN INFANTE",490,30.15
TENO,"2. IGNACIO BRIONES ROJAS",135,8.31
TENO,"3. SEBASTIAN SICHEL RAMIREZ",825,50.77
TENO,"4. MARIO DESBORDES JIMENEZ",175,10.77
TENO,"5. GABRIEL BORIC FONT",993,68.06
TENO,"6. DANIEL JADUE JADUE",466,31.94
TEMUCO,"1. JOAQUIN LAVIN INFANTE",7050,26.97
TEMUCO,"2. IGNACIO BRIONES ROJAS",2077,7.95
TEMUCO,"3. SEBASTIAN SICHEL RAMIREZ",14220,54.4
TEMUCO,"4. MARIO DESBORDES JIMENEZ",2795,10.69
TEMUCO,"5. GABRIEL BORIC FONT",15570,69.28
TEMUCO,"6. DANIEL JADUE JADUE",6905,30.72
