comuna,candidato,votos,porcentaje
PETORCA,"1. JOAQUIN LAVIN INFANTE",108,30.25
PETORCA,"2. IGNACIO BRIONES ROJAS",33,9.24
PETORCA,"3. SEBASTIAN SICHEL RAMIREZ",189,52.94
PETORCA,"4. MARIO DESBORDES JIMENEZ",27,7.56
PETORCA,"5. GABRIEL BORIC FONT",402,49.75
PETORCA,"6. DANIEL JADUE JADUE",406,50.25
PERQUENCO,"1. JOAQUIN LAVIN INFANTE",139,30.09
PERQUENCO,"2. IGNACIO BRIONES ROJAS",38,8.23
PERQUENCO,"3. SEBASTIAN SICHEL RAMIREZ",248,53.68
PERQUENCO,"4. MARIO DESBORDES JIMENEZ",37,8.01
PERQUENCO,"5. GABRIEL BORIC FONT",191,58.23
PERQUENCO,"6. DANIEL JADUE JADUE",137,41.77
PERALILLO,"1. JOAQUIN LAVIN INFANTE",237,30.42
PERALILLO,"2. IGNACIO BRIONES ROJAS",31,3.98
PERALILLO,"3. SEBASTIAN SICHEL RAMIREZ",466,59.82
PERALILLO,"4. MARIO DESBORDES JIMENEZ",45,5.78
PERALILLO,"5. GABRIEL BORIC FONT",516,72.68
PERALILLO,"6. DANIEL JADUE JADUE",194,27.32
PENCO,"1. JOAQUIN LAVIN INFANTE",810,27.78
PENCO,"2. IGNACIO BRIONES ROJAS",238,8.16
PENCO,"3. SEBASTIAN SICHEL RAMIREZ",1496,51.3
PENCO,"4. MARIO DESBORDES JIMENEZ",372,12.76
PENCO,"5. GABRIEL BORIC FONT",2867,64.37
PENCO,"6. DANIEL JADUE JADUE",1587,35.63
PENCAHUE,"1. JOAQUIN LAVIN INFANTE",309,35.19
PENCAHUE,"2. IGNACIO BRIONES ROJAS",53,6.04
PENCAHUE,"3. SEBASTIAN SICHEL RAMIREZ",393,44.76
PENCAHUE,"4. MARIO DESBORDES JIMENEZ",123,14.01
PENCAHUE,"5. GABRIEL BORIC FONT",353,66.6
PENCAHUE,"6. DANIEL JADUE JADUE",177,33.4
PEMUCO,"1. JOAQUIN LAVIN INFANTE",211,28.06
PEMUCO,"2. IGNACIO BRIONES ROJAS",30,3.99
PEMUCO,"3. SEBASTIAN SICHEL RAMIREZ",309,41.09
PEMUCO,"4. MARIO DESBORDES JIMENEZ",202,26.86
PEMUCO,"5. GABRIEL BORIC FONT",212,61.99
PEMUCO,"6. DANIEL JADUE JADUE",130,38.01
PELLUHUE,"1. JOAQUIN LAVIN INFANTE",337,43.26
PELLUHUE,"2. IGNACIO BRIONES ROJAS",55,7.06
PELLUHUE,"3. SEBASTIAN SICHEL RAMIREZ",291,37.36
PELLUHUE,"4. MARIO DESBORDES JIMENEZ",96,12.32
PELLUHUE,"5. GABRIEL BORIC FONT",346,60.7
PELLUHUE,"6. DANIEL JADUE JADUE",224,39.3
PELARCO,"1. JOAQUIN LAVIN INFANTE",209,32.5
PELARCO,"2. IGNACIO BRIONES ROJAS",46,7.15
PELARCO,"3. SEBASTIAN SICHEL RAMIREZ",303,47.12
PELARCO,"4. MARIO DESBORDES JIMENEZ",85,13.22
PELARCO,"5. GABRIEL BORIC FONT",268,63.96
PELARCO,"6. DANIEL JADUE JADUE",151,36.04
"PEDRO AGUIRRE CERDA","1. JOAQUIN LAVIN INFANTE",2078,32.5
"PEDRO AGUIRRE CERDA","2. IGNACIO BRIONES ROJAS",454,7.1
"PEDRO AGUIRRE CERDA","3. SEBASTIAN SICHEL RAMIREZ",3101,48.51
"PEDRO AGUIRRE CERDA","4. MARIO DESBORDES JIMENEZ",760,11.89
"PEDRO AGUIRRE CERDA","5. GABRIEL BORIC FONT",7711,44.02
"PEDRO AGUIRRE CERDA","6. DANIEL JADUE JADUE",9805,55.98
PARRAL,"1. JOAQUIN LAVIN INFANTE",1050,32.95
PARRAL,"2. IGNACIO BRIONES ROJAS",216,6.78
PARRAL,"3. SEBASTIAN SICHEL RAMIREZ",1559,48.92
PARRAL,"4. MARIO DESBORDES JIMENEZ",362,11.36
PARRAL,"5. GABRIEL BORIC FONT",1550,68.07
PARRAL,"6. DANIEL JADUE JADUE",727,31.93
PAREDONES,"1. JOAQUIN LAVIN INFANTE",156,29.66
PAREDONES,"2. IGNACIO BRIONES ROJAS",22,4.18
PAREDONES,"3. SEBASTIAN SICHEL RAMIREZ",293,55.7
PAREDONES,"4. MARIO DESBORDES JIMENEZ",55,10.46
PAREDONES,"5. GABRIEL BORIC FONT",282,63.23
PAREDONES,"6. DANIEL JADUE JADUE",164,36.77
PAPUDO,"1. JOAQUIN LAVIN INFANTE",220,26.47
PAPUDO,"2. IGNACIO BRIONES ROJAS",62,7.46
PAPUDO,"3. SEBASTIAN SICHEL RAMIREZ",435,52.35
PAPUDO,"4. MARIO DESBORDES JIMENEZ",114,13.72
PAPUDO,"5. GABRIEL BORIC FONT",483,58.9
PAPUDO,"6. DANIEL JADUE JADUE",337,41.1
PANQUEHUE,"1. JOAQUIN LAVIN INFANTE",141,24.52
PANQUEHUE,"2. IGNACIO BRIONES ROJAS",35,6.09
PANQUEHUE,"3. SEBASTIAN SICHEL RAMIREZ",348,60.52
PANQUEHUE,"4. MARIO DESBORDES JIMENEZ",51,8.87
PANQUEHUE,"5. GABRIEL BORIC FONT",292,62.93
PANQUEHUE,"6. DANIEL JADUE JADUE",172,37.07
PANGUIPULLI,"1. JOAQUIN LAVIN INFANTE",882,36.75
PANGUIPULLI,"2. IGNACIO BRIONES ROJAS",185,7.71
PANGUIPULLI,"3. SEBASTIAN SICHEL RAMIREZ",1034,43.08
PANGUIPULLI,"4. MARIO DESBORDES JIMENEZ",299,12.46
PANGUIPULLI,"5. GABRIEL BORIC FONT",1296,62.76
PANGUIPULLI,"6. DANIEL JADUE JADUE",769,37.24
PALMILLA,"1. JOAQUIN LAVIN INFANTE",167,20.69
PALMILLA,"2. IGNACIO BRIONES ROJAS",30,3.72
PALMILLA,"3. SEBASTIAN SICHEL RAMIREZ",561,69.52
PALMILLA,"4. MARIO DESBORDES JIMENEZ",49,6.07
PALMILLA,"5. GABRIEL BORIC FONT",366,63.32
PALMILLA,"6. DANIEL JADUE JADUE",212,36.68
PALENA,"1. JOAQUIN LAVIN INFANTE",44,40.74
PALENA,"2. IGNACIO BRIONES ROJAS",7,6.48
PALENA,"3. SEBASTIAN SICHEL RAMIREZ",46,42.59
PALENA,"4. MARIO DESBORDES JIMENEZ",11,10.19
PALENA,"5. GABRIEL BORIC FONT",58,61.05
PALENA,"6. DANIEL JADUE JADUE",37,38.95
PAINE,"1. JOAQUIN LAVIN INFANTE",1730,33.27
PAINE,"2. IGNACIO BRIONES ROJAS",461,8.87
PAINE,"3. SEBASTIAN SICHEL RAMIREZ",2504,48.15
PAINE,"4. MARIO DESBORDES JIMENEZ",505,9.71
PAINE,"5. GABRIEL BORIC FONT",3810,60.16
PAINE,"6. DANIEL JADUE JADUE",2523,39.84
PAILLACO,"1. JOAQUIN LAVIN INFANTE",485,34.2
PAILLACO,"2. IGNACIO BRIONES ROJAS",89,6.28
PAILLACO,"3. SEBASTIAN SICHEL RAMIREZ",635,44.78
PAILLACO,"4. MARIO DESBORDES JIMENEZ",209,14.74
PAILLACO,"5. GABRIEL BORIC FONT",698,61.55
PAILLACO,"6. DANIEL JADUE JADUE",436,38.45
PAIHUANO,"1. JOAQUIN LAVIN INFANTE",71,17.32
PAIHUANO,"2. IGNACIO BRIONES ROJAS",29,7.07
PAIHUANO,"3. SEBASTIAN SICHEL RAMIREZ",163,39.76
PAIHUANO,"4. MARIO DESBORDES JIMENEZ",147,35.85
PAIHUANO,"5. GABRIEL BORIC FONT",207,50
PAIHUANO,"6. DANIEL JADUE JADUE",207,50
"PADRE LAS CASAS","1. JOAQUIN LAVIN INFANTE",1308,31.19
"PADRE LAS CASAS","2. IGNACIO BRIONES ROJAS",260,6.2
"PADRE LAS CASAS","3. SEBASTIAN SICHEL RAMIREZ",2109,50.3
"PADRE LAS CASAS","4. MARIO DESBORDES JIMENEZ",516,12.31
"PADRE LAS CASAS","5. GABRIEL BORIC FONT",2319,63
"PADRE LAS CASAS","6. DANIEL JADUE JADUE",1362,37
"PADRE HURTADO","1. JOAQUIN LAVIN INFANTE",1363,29.81
"PADRE HURTADO","2. IGNACIO BRIONES ROJAS",373,8.16
"PADRE HURTADO","3. SEBASTIAN SICHEL RAMIREZ",2298,50.26
"PADRE HURTADO","4. MARIO DESBORDES JIMENEZ",538,11.77
"PADRE HURTADO","5. GABRIEL BORIC FONT",4607,60.4
"PADRE HURTADO","6. DANIEL JADUE JADUE",3021,39.6
OVALLE,"1. JOAQUIN LAVIN INFANTE",1545,31.16
OVALLE,"2. IGNACIO BRIONES ROJAS",422,8.51
OVALLE,"3. SEBASTIAN SICHEL RAMIREZ",2480,50.01
OVALLE,"4. MARIO DESBORDES JIMENEZ",512,10.32
OVALLE,"5. GABRIEL BORIC FONT",4442,57.28
OVALLE,"6. DANIEL JADUE JADUE",3313,42.72
OSORNO,"1. JOAQUIN LAVIN INFANTE",3410,27.19
OSORNO,"2. IGNACIO BRIONES ROJAS",954,7.61
OSORNO,"3. SEBASTIAN SICHEL RAMIREZ",7011,55.9
OSORNO,"4. MARIO DESBORDES JIMENEZ",1167,9.3
OSORNO,"5. GABRIEL BORIC FONT",7778,62.8
OSORNO,"6. DANIEL JADUE JADUE",4608,37.2
OLMUE,"1. JOAQUIN LAVIN INFANTE",478,31.55
OLMUE,"2. IGNACIO BRIONES ROJAS",154,10.17
OLMUE,"3. SEBASTIAN SICHEL RAMIREZ",706,46.6
OLMUE,"4. MARIO DESBORDES JIMENEZ",177,11.68
OLMUE,"5. GABRIEL BORIC FONT",935,58.69
OLMUE,"6. DANIEL JADUE JADUE",658,41.31
OLLAGUE,"1. JOAQUIN LAVIN INFANTE",13,56.52
OLLAGUE,"2. IGNACIO BRIONES ROJAS",0,0
OLLAGUE,"3. SEBASTIAN SICHEL RAMIREZ",4,17.39
OLLAGUE,"4. MARIO DESBORDES JIMENEZ",6,26.09
OLLAGUE,"5. GABRIEL BORIC FONT",15,60
OLLAGUE,"6. DANIEL JADUE JADUE",10,40
OLIVAR,"1. JOAQUIN LAVIN INFANTE",313,25.2
OLIVAR,"2. IGNACIO BRIONES ROJAS",68,5.48
OLIVAR,"3. SEBASTIAN SICHEL RAMIREZ",781,62.88
OLIVAR,"4. MARIO DESBORDES JIMENEZ",80,6.44
OLIVAR,"5. GABRIEL BORIC FONT",826,71.7
OLIVAR,"6. DANIEL JADUE JADUE",326,28.3
"O'HIGGINS","1. JOAQUIN LAVIN INFANTE",32,57.14
"O'HIGGINS","2. IGNACIO BRIONES ROJAS",3,5.36
"O'HIGGINS","3. SEBASTIAN SICHEL RAMIREZ",6,10.71
"O'HIGGINS","4. MARIO DESBORDES JIMENEZ",15,26.79
"O'HIGGINS","5. GABRIEL BORIC FONT",20,50
"O'HIGGINS","6. DANIEL JADUE JADUE",20,50
"NUEVA IMPERIAL","1. JOAQUIN LAVIN INFANTE",676,37.33
"NUEVA IMPERIAL","2. IGNACIO BRIONES ROJAS",99,5.47
"NUEVA IMPERIAL","3. SEBASTIAN SICHEL RAMIREZ",752,41.52
"NUEVA IMPERIAL","4. MARIO DESBORDES JIMENEZ",284,15.68
"NUEVA IMPERIAL","5. GABRIEL BORIC FONT",1112,63.47
"NUEVA IMPERIAL","6. DANIEL JADUE JADUE",640,36.53
NOGALES,"1. JOAQUIN LAVIN INFANTE",304,26.23
NOGALES,"2. IGNACIO BRIONES ROJAS",77,6.64
NOGALES,"3. SEBASTIAN SICHEL RAMIREZ",649,56
NOGALES,"4. MARIO DESBORDES JIMENEZ",129,11.13
NOGALES,"5. GABRIEL BORIC FONT",1147,54.75
NOGALES,"6. DANIEL JADUE JADUE",948,45.25
NINHUE,"1. JOAQUIN LAVIN INFANTE",213,53.52
NINHUE,"2. IGNACIO BRIONES ROJAS",17,4.27
NINHUE,"3. SEBASTIAN SICHEL RAMIREZ",143,35.93
NINHUE,"4. MARIO DESBORDES JIMENEZ",25,6.28
NINHUE,"5. GABRIEL BORIC FONT",132,58.41
NINHUE,"6. DANIEL JADUE JADUE",94,41.59
NEGRETE,"1. JOAQUIN LAVIN INFANTE",284,36.79
NEGRETE,"2. IGNACIO BRIONES ROJAS",50,6.48
NEGRETE,"3. SEBASTIAN SICHEL RAMIREZ",354,45.85
NEGRETE,"4. MARIO DESBORDES JIMENEZ",84,10.88
NEGRETE,"5. GABRIEL BORIC FONT",277,70.48
NEGRETE,"6. DANIEL JADUE JADUE",116,29.52
NAVIDAD,"1. JOAQUIN LAVIN INFANTE",146,24.25
NAVIDAD,"2. IGNACIO BRIONES ROJAS",68,11.3
NAVIDAD,"3. SEBASTIAN SICHEL RAMIREZ",332,55.15
NAVIDAD,"4. MARIO DESBORDES JIMENEZ",56,9.3
NAVIDAD,"5. GABRIEL BORIC FONT",401,57.95
NAVIDAD,"6. DANIEL JADUE JADUE",291,42.05
NATALES,"1. JOAQUIN LAVIN INFANTE",312,40.05
NATALES,"2. IGNACIO BRIONES ROJAS",68,8.73
NATALES,"3. SEBASTIAN SICHEL RAMIREZ",287,36.84
NATALES,"4. MARIO DESBORDES JIMENEZ",112,14.38
NATALES,"5. GABRIEL BORIC FONT",1199,68.59
NATALES,"6. DANIEL JADUE JADUE",549,31.41
NANCAGUA,"1. JOAQUIN LAVIN INFANTE",297,27.55
NANCAGUA,"2. IGNACIO BRIONES ROJAS",84,7.79
NANCAGUA,"3. SEBASTIAN SICHEL RAMIREZ",635,58.91
NANCAGUA,"4. MARIO DESBORDES JIMENEZ",62,5.75
NANCAGUA,"5. GABRIEL BORIC FONT",757,66.81
NANCAGUA,"6. DANIEL JADUE JADUE",376,33.19
NACIMIENTO,"1. JOAQUIN LAVIN INFANTE",545,32.83
NACIMIENTO,"2. IGNACIO BRIONES ROJAS",120,7.23
NACIMIENTO,"3. SEBASTIAN SICHEL RAMIREZ",810,48.8
NACIMIENTO,"4. MARIO DESBORDES JIMENEZ",185,11.14
NACIMIENTO,"5. GABRIEL BORIC FONT",1056,68.97
NACIMIENTO,"6. DANIEL JADUE JADUE",475,31.03
MULCHEN,"1. JOAQUIN LAVIN INFANTE",529,33.29
MULCHEN,"2. IGNACIO BRIONES ROJAS",112,7.05
MULCHEN,"3. SEBASTIAN SICHEL RAMIREZ",753,47.39
MULCHEN,"4. MARIO DESBORDES JIMENEZ",195,12.27
MULCHEN,"5. GABRIEL BORIC FONT",842,67.25
MULCHEN,"6. DANIEL JADUE JADUE",410,32.75
MOSTAZAL,"1. JOAQUIN LAVIN INFANTE",486,29.38
MOSTAZAL,"2. IGNACIO BRIONES ROJAS",140,8.46
MOSTAZAL,"3. SEBASTIAN SICHEL RAMIREZ",891,53.87
MOSTAZAL,"4. MARIO DESBORDES JIMENEZ",137,8.28
MOSTAZAL,"5. GABRIEL BORIC FONT",1240,52.92
MOSTAZAL,"6. DANIEL JADUE JADUE",1103,47.08
"MONTE PATRIA","1. JOAQUIN LAVIN INFANTE",414,37.88
"MONTE PATRIA","2. IGNACIO BRIONES ROJAS",106,9.7
"MONTE PATRIA","3. SEBASTIAN SICHEL RAMIREZ",468,42.82
"MONTE PATRIA","4. MARIO DESBORDES JIMENEZ",105,9.61
"MONTE PATRIA","5. GABRIEL BORIC FONT",792,53.62
"MONTE PATRIA","6. DANIEL JADUE JADUE",685,46.38
MOLINA,"1. JOAQUIN LAVIN INFANTE",940,30.85
MOLINA,"2. IGNACIO BRIONES ROJAS",212,6.96
MOLINA,"3. SEBASTIAN SICHEL RAMIREZ",1500,49.23
MOLINA,"4. MARIO DESBORDES JIMENEZ",395,12.96
MOLINA,"5. GABRIEL BORIC FONT",2132,62.6
MOLINA,"6. DANIEL JADUE JADUE",1274,37.4
MELIPILLA,"1. JOAQUIN LAVIN INFANTE",2297,29.78
MELIPILLA,"2. IGNACIO BRIONES ROJAS",555,7.2
MELIPILLA,"3. SEBASTIAN SICHEL RAMIREZ",4166,54.01
MELIPILLA,"4. MARIO DESBORDES JIMENEZ",695,9.01
MELIPILLA,"5. GABRIEL BORIC FONT",5703,62.58
MELIPILLA,"6. DANIEL JADUE JADUE",3410,37.42
MELIPEUCO,"1. JOAQUIN LAVIN INFANTE",111,35.46
MELIPEUCO,"2. IGNACIO BRIONES ROJAS",16,5.11
MELIPEUCO,"3. SEBASTIAN SICHEL RAMIREZ",134,42.81
MELIPEUCO,"4. MARIO DESBORDES JIMENEZ",52,16.61
MELIPEUCO,"5. GABRIEL BORIC FONT",120,50.42
MELIPEUCO,"6. DANIEL JADUE JADUE",118,49.58
MEJILLONES,"1. JOAQUIN LAVIN INFANTE",101,27.08
MEJILLONES,"2. IGNACIO BRIONES ROJAS",33,8.85
MEJILLONES,"3. SEBASTIAN SICHEL RAMIREZ",198,53.08
MEJILLONES,"4. MARIO DESBORDES JIMENEZ",41,10.99
MEJILLONES,"5. GABRIEL BORIC FONT",339,37.92
MEJILLONES,"6. DANIEL JADUE JADUE",555,62.08
MAULLIN,"1. JOAQUIN LAVIN INFANTE",309,44.72
MAULLIN,"2. IGNACIO BRIONES ROJAS",36,5.21
MAULLIN,"3. SEBASTIAN SICHEL RAMIREZ",267,38.64
MAULLIN,"4. MARIO DESBORDES JIMENEZ",79,11.43
MAULLIN,"5. GABRIEL BORIC FONT",329,64.13
MAULLIN,"6. DANIEL JADUE JADUE",184,35.87
MAULE,"1. JOAQUIN LAVIN INFANTE",653,30.6
MAULE,"2. IGNACIO BRIONES ROJAS",131,6.14
MAULE,"3. SEBASTIAN SICHEL RAMIREZ",961,45.03
MAULE,"4. MARIO DESBORDES JIMENEZ",389,18.23
MAULE,"5. GABRIEL BORIC FONT",1085,62.94
MAULE,"6. DANIEL JADUE JADUE",639,37.06
MARIQUINA,"1. JOAQUIN LAVIN INFANTE",288,28.29
MARIQUINA,"2. IGNACIO BRIONES ROJAS",71,6.97
MARIQUINA,"3. SEBASTIAN SICHEL RAMIREZ",536,52.65
MARIQUINA,"4. MARIO DESBORDES JIMENEZ",123,12.08
MARIQUINA,"5. GABRIEL BORIC FONT",696,64.56
MARIQUINA,"6. DANIEL JADUE JADUE",382,35.44
"MARIA PINTO","1. JOAQUIN LAVIN INFANTE",295,30.95
"MARIA PINTO","2. IGNACIO BRIONES ROJAS",81,8.5
"MARIA PINTO","3. SEBASTIAN SICHEL RAMIREZ",491,51.52
"MARIA PINTO","4. MARIO DESBORDES JIMENEZ",86,9.02
"MARIA PINTO","5. GABRIEL BORIC FONT",662,57.37
"MARIA PINTO","6. DANIEL JADUE JADUE",492,42.63
"MARIA ELENA","1. JOAQUIN LAVIN INFANTE",49,42.24
"MARIA ELENA","2. IGNACIO BRIONES ROJAS",11,9.48
"MARIA ELENA","3. SEBASTIAN SICHEL RAMIREZ",37,31.9
"MARIA ELENA","4. MARIO DESBORDES JIMENEZ",19,16.38
"MARIA ELENA","5. GABRIEL BORIC FONT",89,39.04
"MARIA ELENA","6. DANIEL JADUE JADUE",139,60.96
MARCHIGUE,"1. JOAQUIN LAVIN INFANTE",152,26.53
MARCHIGUE,"2. IGNACIO BRIONES ROJAS",22,3.84
MARCHIGUE,"3. SEBASTIAN SICHEL RAMIREZ",360,62.83
MARCHIGUE,"4. MARIO DESBORDES JIMENEZ",39,6.81
MARCHIGUE,"5. GABRIEL BORIC FONT",331,67.97
MARCHIGUE,"6. DANIEL JADUE JADUE",156,32.03
MALLOA,"1. JOAQUIN LAVIN INFANTE",260,25.37
MALLOA,"2. IGNACIO BRIONES ROJAS",55,5.37
MALLOA,"3. SEBASTIAN SICHEL RAMIREZ",613,59.8
MALLOA,"4. MARIO DESBORDES JIMENEZ",97,9.46
MALLOA,"5. GABRIEL BORIC FONT",538,66.09
MALLOA,"6. DANIEL JADUE JADUE",276,33.91
MAIPU,"1. JOAQUIN LAVIN INFANTE",9306,27.97
MAIPU,"2. IGNACIO BRIONES ROJAS",2649,7.96
MAIPU,"3. SEBASTIAN SICHEL RAMIREZ",17533,52.69
MAIPU,"4. MARIO DESBORDES JIMENEZ",3787,11.38
MAIPU,"5. GABRIEL BORIC FONT",44740,59.88
MAIPU,"6. DANIEL JADUE JADUE",29973,40.12
MAFIL,"1. JOAQUIN LAVIN INFANTE",136,24.37
MAFIL,"2. IGNACIO BRIONES ROJAS",43,7.71
MAFIL,"3. SEBASTIAN SICHEL RAMIREZ",327,58.6
MAFIL,"4. MARIO DESBORDES JIMENEZ",52,9.32
MAFIL,"5. GABRIEL BORIC FONT",244,63.21
MAFIL,"6. DANIEL JADUE JADUE",142,36.79
MACUL,"1. JOAQUIN LAVIN INFANTE",3070,31.24
MACUL,"2. IGNACIO BRIONES ROJAS",860,8.75
MACUL,"3. SEBASTIAN SICHEL RAMIREZ",4939,50.25
MACUL,"4. MARIO DESBORDES JIMENEZ",959,9.76
MACUL,"5. GABRIEL BORIC FONT",11685,60.5
MACUL,"6. DANIEL JADUE JADUE",7629,39.5
MACHALI,"1. JOAQUIN LAVIN INFANTE",1064,23.59
MACHALI,"2. IGNACIO BRIONES ROJAS",435,9.64
MACHALI,"3. SEBASTIAN SICHEL RAMIREZ",2691,59.65
MACHALI,"4. MARIO DESBORDES JIMENEZ",321,7.12
MACHALI,"5. GABRIEL BORIC FONT",3705,70.73
MACHALI,"6. DANIEL JADUE JADUE",1533,29.27
LUMACO,"1. JOAQUIN LAVIN INFANTE",197,32.83
LUMACO,"2. IGNACIO BRIONES ROJAS",28,4.67
LUMACO,"3. SEBASTIAN SICHEL RAMIREZ",341,56.83
LUMACO,"4. MARIO DESBORDES JIMENEZ",34,5.67
LUMACO,"5. GABRIEL BORIC FONT",158,55.83
LUMACO,"6. DANIEL JADUE JADUE",125,44.17
LOTA,"1. JOAQUIN LAVIN INFANTE",846,34.83
LOTA,"2. IGNACIO BRIONES ROJAS",160,6.59
LOTA,"3. SEBASTIAN SICHEL RAMIREZ",1042,42.9
LOTA,"4. MARIO DESBORDES JIMENEZ",381,15.69
LOTA,"5. GABRIEL BORIC FONT",1955,55.7
LOTA,"6. DANIEL JADUE JADUE",1555,44.3
"LOS VILOS","1. JOAQUIN LAVIN INFANTE",344,33.56
"LOS VILOS","2. IGNACIO BRIONES ROJAS",77,7.51
"LOS VILOS","3. SEBASTIAN SICHEL RAMIREZ",485,47.32
"LOS VILOS","4. MARIO DESBORDES JIMENEZ",119,11.61
"LOS VILOS","5. GABRIEL BORIC FONT",1064,54.7
"LOS VILOS","6. DANIEL JADUE JADUE",881,45.3
"LOS SAUCES","1. JOAQUIN LAVIN INFANTE",238,40.55
"LOS SAUCES","2. IGNACIO BRIONES ROJAS",37,6.3
"LOS SAUCES","3. SEBASTIAN SICHEL RAMIREZ",267,45.49
"LOS SAUCES","4. MARIO DESBORDES JIMENEZ",45,7.67
"LOS SAUCES","5. GABRIEL BORIC FONT",151,69.59
"LOS SAUCES","6. DANIEL JADUE JADUE",66,30.41
"LOS MUERMOS","1. JOAQUIN LAVIN INFANTE",539,45.29
"LOS MUERMOS","2. IGNACIO BRIONES ROJAS",62,5.21
"LOS MUERMOS","3. SEBASTIAN SICHEL RAMIREZ",503,42.27
"LOS MUERMOS","4. MARIO DESBORDES JIMENEZ",86,7.23
"LOS MUERMOS","5. GABRIEL BORIC FONT",415,71.92
"LOS MUERMOS","6. DANIEL JADUE JADUE",162,28.08
"LOS LAGOS","1. JOAQUIN LAVIN INFANTE",313,29.04
"LOS LAGOS","2. IGNACIO BRIONES ROJAS",61,5.66
"LOS LAGOS","3. SEBASTIAN SICHEL RAMIREZ",574,53.25
"LOS LAGOS","4. MARIO DESBORDES JIMENEZ",130,12.06
"LOS LAGOS","5. GABRIEL BORIC FONT",786,60.74
"LOS LAGOS","6. DANIEL JADUE JADUE",508,39.26
"LOS ANGELES","1. JOAQUIN LAVIN INFANTE",5079,30.05
"LOS ANGELES","2. IGNACIO BRIONES ROJAS",1130,6.69
"LOS ANGELES","3. SEBASTIAN SICHEL RAMIREZ",9151,54.15
"LOS ANGELES","4. MARIO DESBORDES JIMENEZ",1540,9.11
"LOS ANGELES","5. GABRIEL BORIC FONT",7605,74.26
"LOS ANGELES","6. DANIEL JADUE JADUE",2636,25.74
"LOS ANDES","1. JOAQUIN LAVIN INFANTE",1491,29.17
"LOS ANDES","2. IGNACIO BRIONES ROJAS",390,7.63
"LOS ANDES","3. SEBASTIAN SICHEL RAMIREZ",2670,52.24
"LOS ANDES","4. MARIO DESBORDES JIMENEZ",560,10.96
"LOS ANDES","5. GABRIEL BORIC FONT",4569,65.16
"LOS ANDES","6. DANIEL JADUE JADUE",2443,34.84
"LOS ALAMOS","1. JOAQUIN LAVIN INFANTE",510,44.7
"LOS ALAMOS","2. IGNACIO BRIONES ROJAS",69,6.05
"LOS ALAMOS","3. SEBASTIAN SICHEL RAMIREZ",383,33.57
"LOS ALAMOS","4. MARIO DESBORDES JIMENEZ",179,15.69
"LOS ALAMOS","5. GABRIEL BORIC FONT",523,60.96
"LOS ALAMOS","6. DANIEL JADUE JADUE",335,39.04
LONQUIMAY,"1. JOAQUIN LAVIN INFANTE",175,36.38
LONQUIMAY,"2. IGNACIO BRIONES ROJAS",40,8.32
LONQUIMAY,"3. SEBASTIAN SICHEL RAMIREZ",212,44.07
LONQUIMAY,"4. MARIO DESBORDES JIMENEZ",54,11.23
LONQUIMAY,"5. GABRIEL BORIC FONT",148,56.06
LONQUIMAY,"6. DANIEL JADUE JADUE",116,43.94
LONGAVI,"1. JOAQUIN LAVIN INFANTE",788,48.34
LONGAVI,"2. IGNACIO BRIONES ROJAS",80,4.91
LONGAVI,"3. SEBASTIAN SICHEL RAMIREZ",535,32.82
LONGAVI,"4. MARIO DESBORDES JIMENEZ",227,13.93
LONGAVI,"5. GABRIEL BORIC FONT",687,61.39
LONGAVI,"6. DANIEL JADUE JADUE",432,38.61
LONCOCHE,"1. JOAQUIN LAVIN INFANTE",467,31.9
LONCOCHE,"2. IGNACIO BRIONES ROJAS",121,8.27
LONCOCHE,"3. SEBASTIAN SICHEL RAMIREZ",670,45.77
LONCOCHE,"4. MARIO DESBORDES JIMENEZ",206,14.07
LONCOCHE,"5. GABRIEL BORIC FONT",796,61.18
LONCOCHE,"6. DANIEL JADUE JADUE",505,38.82
LOLOL,"1. JOAQUIN LAVIN INFANTE",155,29.08
LOLOL,"2. IGNACIO BRIONES ROJAS",46,8.63
LOLOL,"3. SEBASTIAN SICHEL RAMIREZ",302,56.66
LOLOL,"4. MARIO DESBORDES JIMENEZ",30,5.63
LOLOL,"5. GABRIEL BORIC FONT",278,71.65
LOLOL,"6. DANIEL JADUE JADUE",110,28.35
"LO PRADO","1. JOAQUIN LAVIN INFANTE",2163,32.2
"LO PRADO","2. IGNACIO BRIONES ROJAS",459,6.83
"LO PRADO","3. SEBASTIAN SICHEL RAMIREZ",3197,47.6
"LO PRADO","4. MARIO DESBORDES JIMENEZ",898,13.37
"LO PRADO","5. GABRIEL BORIC FONT",6723,50.61
"LO PRADO","6. DANIEL JADUE JADUE",6560,49.39
"LO ESPEJO","1. JOAQUIN LAVIN INFANTE",1783,34.01
"LO ESPEJO","2. IGNACIO BRIONES ROJAS",329,6.28
"LO ESPEJO","3. SEBASTIAN SICHEL RAMIREZ",2471,47.14
"LO ESPEJO","4. MARIO DESBORDES JIMENEZ",659,12.57
"LO ESPEJO","5. GABRIEL BORIC FONT",5417,44.98
"LO ESPEJO","6. DANIEL JADUE JADUE",6627,55.02
"LO BARNECHEA","1. JOAQUIN LAVIN INFANTE",10074,30.59
"LO BARNECHEA","2. IGNACIO BRIONES ROJAS",5721,17.37
"LO BARNECHEA","3. SEBASTIAN SICHEL RAMIREZ",16526,50.18
"LO BARNECHEA","4. MARIO DESBORDES JIMENEZ",614,1.86
